226, 71
226, 74
224, 82
219, 96
216, 107
212, 120
207, 138
202, 157
197, 175
194, 188
192, 198
191, 204
190, 208
189, 210
189, 211
189, 212
188, 212
187, 212
186, 212
184, 212
180, 212
173, 213
164, 216
152, 218
140, 221
128, 224
117, 226
107, 229
97, 232
89, 235
82, 237
76, 239
71, 240
67, 240
64, 240
61, 241
59, 241
56, 241
55, 242
53, 242
52, 242
51, 242
50, 242
51, 242
53, 242
54, 242
57, 242
66, 242
79, 243
97, 246
119, 250
143, 255
165, 261
181, 265
193, 269
200, 272
204, 273
206, 274
207, 275
206, 276
205, 277
203, 280
201, 284
196, 291
189, 305
181, 319
175, 334
169, 348
165, 360
163, 368
161, 375
160, 380
159, 385
159, 389
158, 393
157, 397
157, 401
156, 405
156, 408
156, 412
155, 415
155, 417
155, 418
155, 419
155, 418
156, 417
157, 416
159, 413
164, 408
175, 398
192, 384
209, 370
225, 358
238, 348
249, 340
257, 333
262, 328
266, 324
269, 321
271, 319
273, 317
274, 316
275, 314
275, 313
276, 313
276, 314
278, 316
280, 318
283, 321
288, 326
297, 335
308, 347
318, 358
328, 370
338, 382
347, 392
354, 399
360, 404
364, 408
367, 411
369, 413
370, 414
372, 415
373, 416
375, 417
379, 419
383, 421
387, 422
391, 424
395, 425
398, 426
399, 426
400, 427
400, 426
400, 425
399, 424
398, 421
396, 416
391, 406
384, 394
378, 382
372, 372
368, 365
364, 358
360, 352
356, 346
352, 339
347, 330
343, 323
341, 317
338, 312
337, 308
336, 306
335, 304
335, 303
335, 302
334, 301
334, 299
333, 297
332, 294
332, 293
331, 292
331, 291
331, 290
332, 290
336, 290
345, 289
354, 288
365, 287
382, 285
399, 283
413, 283
424, 283
433, 283
440, 283
445, 282
449, 282
452, 282
455, 281
458, 281
460, 280
462, 280
463, 280
465, 280
467, 279
468, 279
470, 279
472, 279
474, 279
475, 279
476, 279
476, 278
474, 278
471, 277
465, 274
452, 269
433, 262
412, 255
390, 248
372, 242
358, 238
346, 234
337, 231
329, 228
322, 226
317, 225
312, 223
307, 222
302, 220
297, 218
293, 217
289, 216
285, 215
283, 214
282, 213
281, 213
281, 212
281, 211
280, 209
279, 206
276, 199
271, 190
265, 178
259, 167
253, 157
248, 148
244, 140
240, 132
237, 124
235, 119
232, 114
231, 110
229, 106
228, 103
227, 99
226, 96
225, 93
225, 92
224, 91
224, 90
224, 89
224, 87
224, 86
224, 85
224, 84
224, 83
224, 82
224, 81
224, 80
223, 77
223, 74
223, 71
223, 69
223, 68
223, 67
223, 68
