322, 167
322, 161
322, 153
322, 143
321, 137
320, 131
317, 124
311, 119
305, 115
299, 111
291, 107
285, 105
279, 103
274, 102
270, 101
267, 101
263, 103
259, 107
255, 113
251, 121
247, 130
243, 140
241, 148
240, 155
239, 161
239, 166
239, 169
239, 172
239, 173
239, 174
239, 173
237, 172
235, 171
232, 169
229, 168
224, 167
219, 166
213, 166
209, 166
204, 166
199, 167
193, 169
188, 173
183, 178
177, 184
172, 191
167, 198
162, 205
158, 211
156, 217
154, 222
153, 226
153, 229
152, 232
152, 234
154, 237
156, 239
161, 240
167, 241
174, 242
183, 241
192, 240
201, 237
208, 235
214, 233
219, 231
223, 229
226, 228
228, 227
230, 226
231, 225
232, 225
232, 228
231, 237
229, 255
225, 280
223, 303
223, 322
223, 335
224, 344
225, 351
227, 355
230, 359
232, 362
236, 364
240, 365
244, 366
248, 366
252, 365
257, 362
261, 356
266, 349
270, 342
273, 336
275, 329
277, 321
278, 314
279, 308
279, 302
279, 295
279, 288
278, 282
278, 276
277, 271
277, 266
277, 264
277, 263
277, 262
277, 263
278, 268
280, 273
284, 282
290, 296
297, 310
304, 325
310, 335
315, 342
318, 345
321, 348
323, 349
325, 349
327, 350
330, 350
333, 350
337, 350
340, 350
342, 350
345, 350
346, 350
347, 349
348, 348
349, 345
350, 339
350, 332
349, 321
346, 310
342, 298
337, 287
332, 276
326, 266
322, 258
318, 253
315, 248
312, 246
311, 244
310, 244
309, 243
311, 244
314, 244
320, 245
332, 246
346, 248
359, 249
373, 250
382, 251
389, 251
395, 251
399, 251
403, 249
405, 247
408, 243
410, 240
411, 236
412, 233
412, 229
413, 225
412, 221
410, 217
407, 212
402, 207
397, 203
392, 199
387, 196
382, 193
378, 190
374, 187
370, 185
366, 183
362, 181
359, 180
356, 179
354, 179
351, 178
349, 177
346, 176
344, 176
342, 175
340, 174
338, 174
336, 174
334, 173
333, 173
331, 173
330, 172
329, 172
328, 172
328, 171
327, 171
326, 170
325, 170
324, 170
324, 169
323, 169
322, 169
322, 168
