175, 109
173, 109
171, 109
169, 109
167, 109
166, 110
163, 112
161, 115
157, 118
154, 122
149, 127
145, 132
142, 137
138, 142
135, 147
133, 152
131, 157
130, 162
129, 167
129, 173
128, 179
128, 185
128, 193
128, 202
129, 212
132, 221
137, 230
144, 239
151, 246
158, 252
166, 257
176, 261
187, 265
199, 269
212, 273
225, 276
238, 279
252, 282
266, 284
278, 285
290, 285
301, 285
311, 285
321, 283
331, 280
340, 275
348, 270
356, 265
363, 258
370, 249
374, 238
378, 228
381, 218
382, 209
383, 200
382, 191
381, 180
378, 167
373, 155
368, 146
364, 140
359, 135
354, 130
348, 125
342, 120
335, 115
327, 109
320, 105
314, 102
309, 99
303, 97
297, 96
292, 95
287, 94
282, 94
276, 94
269, 94
262, 94
255, 93
248, 93
242, 93
235, 93
229, 93
225, 93
219, 93
214, 93
210, 93
206, 93
203, 93
200, 93
196, 93
193, 93
191, 93
188, 93
185, 93
183, 93
182, 93
180, 94
179, 94
178, 95
177, 95
176, 96
174, 97
173, 98
172, 99
171, 101
171, 103
170, 104
170, 105
169, 106
169, 107
169, 108
